Source,SS,DF,MS,F,p_unc,np2
Model,0.8099637800821975,1.0,0.8099637800821975,27.32812757760069,2.2570763284959923e-07,0.03686374030741204
dye,10.707152610346371,5.0,2.141430522069274,72.25173266357449,3.317650011838195e-61,0.33597372952397747
Model * dye,3.116616929057875,5.0,0.623323385811575,21.030892279938804,1.2058742051170953e-19,0.12836951558563933
Residual,21.16186472477903,714.0,0.029638466001091077,,,
